,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
510,2103780872,"71 Hancock St, Boston, MA 02114",Hancock St,Boston,MA,2114,6495000,6210400,4,5,1091,5948,1801.0,SINGLE_FAMILY,FOR_SALE,Sprogis & Neale Real Estate
512,2068560310,"1400 Columbia Rd #2, Boston, MA 02127",Columbia Rd #2,Boston,MA,2127,839000,838600,2,1,932,900,4516.0,CONDO,FOR_SALE,Barrett Sotheby's International Realty
516,81857272,"80 Broad St UNIT 301, Boston, MA 02110",Broad St UNIT 301,Boston,MA,2110,1750000,1695200,3,3,916,1910,1910.0,CONDO,FOR_SALE,Broad Street Boutique Realty LLC
531,102988140,"400 Stuart St #26A, Boston, MA 02116",Stuart St #26A,Boston,MA,2116,6195000,6002700,4,5,2551,2428,2613.6,CONDO,FOR_SALE,Gibson Sotheby's International Realty
549,2067537844,"465 E 8th St, Boston, MA 02127",E 8th St,Boston,MA,2127,1399000,1367300,4,3,904,1547,2613.6,MULTI_FAMILY,FOR_SALE,Coldwell Banker Realty - Milton
550,59163178,"6 Whittier Pl APT 2G, Boston, MA 02114",Whittier Pl APT 2G,Boston,MA,2114,475000,461900,0,1,746,636,636.0,CONDO,FOR_SALE,RE/MAX Executive Realty
551,59163215,"6 Whittier Pl APT 4N, Boston, MA 02114",Whittier Pl APT 4N,Boston,MA,2114,741500,727900,2,2,572,1296,1306.8,CONDO,FOR_SALE,RE/MAX Executive Realty
553,59174557,"43 Commercial Wharf APT 8, Boston, MA 02110",Commercial Wharf APT 8,Boston,MA,2110,2100000,2052100,2,2,1235,1700,1306.8,CONDO,FOR_SALE,Compass
555,2067630781,"592A E Broadway, Boston, MA 02127",E Broadway,Boston,MA,2127,3199000,3149500,6,9,722,4425,1829.0,MULTI_FAMILY,FOR_SALE,Compass
558,90136957,"42 Beach St #3D, Boston, MA 02111",Beach St #3D,Boston,MA,2111,625000,614500,1,2,707,884,884.0,CONDO,FOR_SALE,Elevate Real Estate
567,189950691,"86 Chestnut St, Boston, MA 02108",Chestnut St,Boston,MA,2108,6480000,6180900,4,5,1796,3607,1458.0,SINGLE_FAMILY,FOR_SALE,MGS Group Real Estate LTD
574,102987610,"400 Stuart St #26D, Boston, MA 02116",Stuart St #26D,Boston,MA,2116,2725000,2668600,2,3,1814,1502,1502.0,CONDO,FOR_SALE,Campion & Company Fine Homes Real Estate
575,2088983203,"9 Worcester St #1, Boston, MA 02118",Worcester St #1,Boston,MA,2118,945000,931100,1,2,601,1570,1742.4,CONDO,FOR_SALE,Compass
