,property_id,address,street_name,city,rstate,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name
74,59173708,"61 W Cedar St #2, Boston, MA 02114",W Cedar St #2,Boston,MA,2114,869000,869000,2,1,1158,750,871.2,CONDO,FOR_SALE,Setrakian Realty Co.
76,59171698,"79 Dartmouth St #2, Boston, MA 02116",Dartmouth St #2,Boston,MA,2116,1075000,1026000,2,2,1113,965,965.0,CONDO,FOR_SALE,Realty Executives Boston West
77,59164404,"100 Fulton St #3K, Boston, MA 02109",Fulton St #3K,Boston,MA,2109,710000,776700,1,1,920,771,871.2,CONDO,FOR_SALE,Compass
84,59211266,"1387 Washington St APT 504, Boston, MA 02118",Washington St APT 504,Boston,MA,2118,995000,1114200,2,2,851,1168,1306.8,CONDO,FOR_SALE,Coldwell Banker Realty - South End
91,59165005,"2 Clarendon St APT 102, Boston, MA 02116",Clarendon St APT 102,Boston,MA,2116,989000,980500,2,2,1042,949,949.0,CONDO,FOR_SALE,William Raveis R.E. & Home Services
92,2092804145,"8 Howell St #1, Boston, MA 02125",Howell St #1,Boston,MA,2125,849000,737500,3,2,494,1716,1742.4,CONDO,FOR_SALE,Gibson Sotheby's International Realty
93,59163504,"8 Whittier Pl APT 11D, Boston, MA 02114",Whittier Pl APT 11D,Boston,MA,2114,534900,557400,1,1,614,871,871.2,CONDO,FOR_SALE,Leading Edge Real Estate
95,60112593,"7 Charles St, Boston, MA 02129",Charles St,Boston,MA,2129,1399000,1198900,3,4,635,2200,1306.8,SINGLE_FAMILY,FOR_SALE,Coldwell Banker Realty - Charlestown
99,90136038,"58 E Springfield St #5, Boston, MA 02118",E Springfield St #5,Boston,MA,2118,699000,745800,2,1,964,725,871.2,CONDO,FOR_SALE,Arris Realty
103,2102669520,"304 Shawmut Ave, Boston, MA 02118",Shawmut Ave,Boston,MA,2118,4200000,4766400,7,6,1084,3872,1870.0,MULTI_FAMILY,FOR_SALE,Compass
106,61319644,"26 Stillman St APT 2-1, Boston, MA 02113",Stillman St APT 2-1,Boston,MA,2113,1299000,1331800,2,2,978,1328,1328.0,CONDO,FOR_SALE,Coldwell Banker Realty - South End
111,81855914,"21 Father Francis Gilday St APT 301, Boston, MA 02118",Father Francis Gilday St APT 301,Boston,MA,2118,899000,968100,2,2,925,971,971.0,CONDO,FOR_SALE,Prevu Real Estate LLC
112,59174060,"77 Myrtle St, Boston, MA 02114",Myrtle St,Boston,MA,2114,3995000,3843600,5,4,1210,3300,1306.8,SINGLE_FAMILY,FOR_SALE,Gibson Sotheby's International Realty
115,67715677,"25 Channel Center St UNIT 1101, Boston, MA 02210",Channel Center St UNIT 1101,Boston,MA,2210,1498000,1481100,2,2,992,1510,1510.0,CONDO,FOR_SALE,Coldwell Banker Realty - Brookline
122,81858987,"162 Salem St APT 5, Boston, MA 02113",Salem St APT 5,Boston,MA,2113,525000,537500,1,1,961,546,546.0,CONDO,FOR_SALE,Compass
129,81855959,"12 Worcester Sq APT 1, Boston, MA 02118",Worcester Sq APT 1,Boston,MA,2118,1695000,1907000,3,3,830,2040,2178.0,CONDO,FOR_SALE,Sprogis & Neale Real Estate
134,67709607,"12 Isabella St APT 1, Boston, MA 02116",Isabella St APT 1,Boston,MA,2116,1265000,1265000,2,3,1125,1124,1050.0,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay
141,123845214,"580 Washington St #3, Boston, MA 02111",Washington St #3,Boston,MA,2111,3250000,2976000,3,3,1726,1882,1882.0,CONDO,FOR_SALE,Compass
142,59169456,"28 Irving St, Boston, MA 02114",Irving St,Boston,MA,2114,2795000,2753100,3,3,1439,1941,650.0,SINGLE_FAMILY,FOR_SALE,Compass
150,90136195,"99-105 Broad St #8B, Boston, MA 02110",105 Broad St #8B,Boston,MA,2110,1495000,1345200,2,2,1111,1345,1345.0,CONDO,FOR_SALE,Compass
155,59174087,"25 Revere St APT 3, Boston, MA 02114",Revere St APT 3,Boston,MA,2114,1365000,1365000,3,2,1275,1070,1070.0,CONDO,FOR_SALE,Olde Forge Realty
157,59164504,"300 Commercial St APT 512, Boston, MA 02109",Commercial St APT 512,Boston,MA,2109,539900,555300,1,1,935,577,577.0,CONDO,FOR_SALE,"Bento Real Estate Group, Inc."
163,2069513617,"202 Maverick St #105, Boston, MA 02128",Maverick St #105,Boston,MA,2128,519000,519000,1,1,857,605,8049.0,CONDO,FOR_SALE,Boston Harbor Real Estate
164,2065671953,"23 Bradford St #2, Boston, MA 02118",Bradford St #2,Boston,MA,2118,1995000,1995000,3,3,1040,1918,1918.0,CONDO,FOR_SALE,McCormack & Scanlan Real Estate
180,59174085,"25 Revere St APT 1, Boston, MA 02114",Revere St APT 1,Boston,MA,2114,1275000,1269100,2,2,1307,975,975.0,CONDO,FOR_SALE,Olde Forge Realty
181,81857238,"44 Prince St APT 504, Boston, MA 02113",Prince St APT 504,Boston,MA,2113,1995000,1961700,3,2,1212,1645,1742.4,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
187,59101062,"4 Lexington St, Boston, MA 02129",Lexington St,Boston,MA,2129,1549000,1537600,3,3,687,2254,982.0,SINGLE_FAMILY,FOR_SALE,Reitz Realty Group
188,59175437,"85 E India Row APT 25G, Boston, MA 02110",E India Row APT 25G,Boston,MA,2110,1225000,1223700,2,2,1007,1216,1306.8,CONDO,FOR_SALE,Camdan Realty LLC
189,59106078,"3 Magnolia Pl, Boston, MA 02125",Magnolia Pl,Boston,MA,2125,950000,951500,4,2,519,1830,3103.0,MULTI_FAMILY,FOR_SALE,eXp Realty
198,81857648,"80 Broad St UNIT 808, Boston, MA 02110",Broad St UNIT 808,Boston,MA,2110,1299000,1278500,2,2,1112,1168,1306.8,CONDO,FOR_SALE,Broad Street Boutique Realty LLC
200,59101748,"54 Monadnock St #2, Boston, MA 02125",Monadnock St #2,Boston,MA,2125,444900,445600,2,1,383,1161,1306.8,CONDO,FOR_SALE,Century 21 Shawmut Properties
209,59182523,"43 Upton St APT 2, Boston, MA 02118",Upton St APT 2,Boston,MA,2118,675000,686400,1,1,924,730,871.2,CONDO,FOR_SALE,RE/MAX Destiny
212,59173451,"16 Charles River Sq, Boston, MA 02114",Charles River Sq,Boston,MA,2114,4950000,4810200,5,5,1146,4318,2178.0,SINGLE_FAMILY,FOR_SALE,William Raveis R.E. & Home Services
219,189950372,"41-43 Phillips St UNIT 13, Boston, MA 02114",43 Phillips St UNIT 13,Boston,MA,2114,2150000,2128700,2,3,1571,1368,1368.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
220,2089670549,"158 F St APT 2, Boston, MA 02127",F St APT 2,Boston,MA,2127,529000,538000,1,1,958,552,552.0,CONDO,FOR_SALE,Fitzpatrick Real Estate
221,63042153,"1313 Washington St APT 201, Boston, MA 02118",Washington St APT 201,Boston,MA,2118,1995000,1995000,3,3,1040,1918,1918.0,CONDO,FOR_SALE,Compass
231,2102089728,"6 Kemble Pl, Boston, MA 02127",Kemble Pl,Boston,MA,2127,1585000,1567200,3,3,1000,1585,900.0,SINGLE_FAMILY,FOR_SALE,Coldwell Banker Realty - Arlington
233,2107682803,"7 Anderson St, Boston, MA 02114",Anderson St,Boston,MA,2114,6470000,6188400,19,10,860,7520,1742.4,MULTI_FAMILY,FOR_SALE,Presidential Properties
234,2109488118,"37 Joy St, Boston, MA 02114",Joy St,Boston,MA,2114,6900000,6591000,9,15,838,8232,1917.0,MULTI_FAMILY,FOR_SALE,Presidential Properties
239,2079779704,"47 Revere St, Boston, MA 02114",Revere St,Boston,MA,2114,4250000,4065000,7,10,951,4466,1066.0,MULTI_FAMILY,FOR_SALE,Compass
243,81859244,"210 South St UNIT 115, Boston, MA 02111",South St UNIT 115,Boston,MA,2111,824999,825000,1,1,789,1045,1045.0,CONDO,FOR_SALE,Compass
249,59165806,"80 Broadway St #2A, Boston, MA 02116",Broadway St #2A,Boston,MA,2116,934900,934300,2,2,812,1151,1306.8,CONDO,FOR_SALE,Gibson Sotheby's International Realty
253,102987634,"400 Stuart St #19A, Boston, MA 02116",Stuart St #19A,Boston,MA,2116,3695000,3695000,3,3,2058,1795,1782.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
256,2096000383,"433 Shawmut Ave #1, Boston, MA 02118",Shawmut Ave #1,Boston,MA,2118,3995000,3821100,4,4,1009,3958,2183.0,CONDO,FOR_SALE,Sprogis & Neale Real Estate
257,63042158,"1313 Washington St APT 206, Boston, MA 02118",Washington St APT 206,Boston,MA,2118,2295000,2276900,3,2,1175,1952,1952.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
259,59163389,"6 Whittier Pl APT 16L, Boston, MA 02114",Whittier Pl APT 16L,Boston,MA,2114,439000,424600,1,1,809,542,542.0,CONDO,FOR_SALE,Engel & Volkers Boston
262,59212673,"151 Tremont St APT 6C, Boston, MA 02111",Tremont St APT 6C,Boston,MA,2111,649000,650100,1,1,882,735,871.2,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
265,81859030,"50 Fleet St #402, Boston, MA 02109",Fleet St #402,Boston,MA,2109,2325000,2261100,3,3,1379,1686,1742.4,CONDO,FOR_SALE,"Luxury Residential Group, LLC"
274,63711325,"2 Rollins St APT D604, Boston, MA 02118",Rollins St APT D604,Boston,MA,2118,1349000,1349000,1,2,1285,1049,1049.0,CONDO,FOR_SALE,Gibson Sotheby's International Realty
279,59174732,"48 Beacon St APT 3R, Boston, MA 02108",Beacon St APT 3R,Boston,MA,2108,1699000,1660800,2,2,1304,1302,1306.8,CONDO,FOR_SALE,Compass
280,2065882596,"134 Fulton St #5, Boston, MA 02109",Fulton St #5,Boston,MA,2109,1395000,1395000,2,2,866,1609,1742.4,CONDO,FOR_SALE,CL Properties
293,2071564666,"9 W Broadway #618, Boston, MA 02127",W Broadway #618,Boston,MA,2127,2700000,2647100,3,4,1037,2603,2613.6,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay
294,59163175,"6 Whittier Pl APT 2D, Boston, MA 02114",Whittier Pl APT 2D,Boston,MA,2114,679900,679700,2,2,564,1205,1306.8,CONDO,FOR_SALE,Moor Realty Group
296,2098315913,"12 O St, Boston, MA 02127",O St,Boston,MA,2127,2950000,2950000,6,6,794,3714,2680.0,MULTI_FAMILY,FOR_SALE,Boston Realty Advisors
297,2066046605,"28-30 Mercer St, Boston, MA 02127",30 Mercer St,Boston,MA,2127,2999000,2999000,11,6,375,7993,4356.0,MULTI_FAMILY,FOR_SALE,Boston Realty Advisors
